generation,avg_ar,max_ar,min_ar,avg_latency,max_latency,min_latency
244,0.1409375,0.21875,0.09375,288.28638921186064,534.3164442097993,188.03906549982614
245,0.1434375,0.21875,0.125,293.60621873546387,565.5863109379186,229.61759022483488
246,0.14125,0.21875,0.125,286.15202307755584,538.272056030583,229.61759022483488
247,0.1428125,0.21875,0.125,289.17993474118083,520.3661614961768,229.61759022483488
248,0.1409375,0.21875,0.09375,283.62174952951614,545.2547402993263,172.84562803666748
249,0.1425,0.25,0.09375,289.6488775450341,676.1878134252356,170.31588656450225
250,0.1440625,0.21875,0.125,290.7345783073498,508.06629088491854,229.61759022483488
251,0.1421875,0.21875,0.125,283.75945268631784,524.1234685820659,229.61759022483488
252,0.1459375,0.21875,0.09375,297.3895210238608,526.8090175037005,172.84562803666748
253,0.1409375,0.1875,0.09375,284.0216737260457,470.1291822814945,170.31588656450225
254,0.1403125,0.21875,0.09375,282.72990182156866,555.3931749176736,170.31588656450225
255,0.139375,0.1875,0.09375,278.7116033911719,458.7189907500967,172.84562803666748
256,0.141875,0.21875,0.09375,287.5301345748148,561.9224288596763,172.84562803666748
257,0.1378125,0.21875,0.09375,276.1283703089909,523.0467314087473,170.31588656450225
258,0.138125,0.21875,0.09375,276.9790511744292,596.493128280113,170.31588656450225
259,0.1396875,0.1875,0.09375,282.1842910977936,440.525270177388,170.31588656450225
260,0.1396875,0.25,0.09375,282.8111543822868,677.4657828188463,170.31588656450225
261,0.1396875,0.21875,0.09375,280.69066289151783,529.2980646869622,170.31588656450225
262,0.14125,0.1875,0.09375,286.6537815128014,474.46143585383953,172.84562803666748
263,0.140625,0.21875,0.09375,283.6178304157183,546.4101010707413,170.31588656450225
264,0.143125,0.25,0.09375,290.8119263013345,621.0622852540124,172.84562803666748
265,0.1425,0.21875,0.125,288.41662251928994,585.6938195553241,229.61759022483488
266,0.14,0.21875,0.09375,281.76964259892344,549.2756055896389,170.31588656450225
267,0.14,0.25,0.125,280.88363095568434,643.2470952087492,229.61759022483488
268,0.1428125,0.21875,0.09375,289.52310074467084,535.807078013382,170.31588656450225
269,0.1440625,0.25,0.125,293.49094303150895,614.0579852642691,229.61759022483488
270,0.143125,0.21875,0.125,288.60145300414274,568.7893492249011,229.61759022483488
271,0.143125,0.21875,0.09375,287.1598453331134,540.8699899128302,172.84562803666748
272,0.14625,0.21875,0.125,298.7684589038352,521.8986542959937,229.61759022483488
273,0.1459375,0.25,0.125,298.7394576679248,630.769372701867,229.61759022483488
274,0.1453125,0.21875,0.09375,299.0354192420314,555.4808411052426,172.84562803666748
275,0.1428125,0.21875,0.09375,292.8895708472065,500.6123327874621,172.84562803666748
276,0.1440625,0.1875,0.09375,294.9431243797372,473.23452589546457,172.84562803666748
277,0.143125,0.25,0.09375,291.5997016063009,679.9464007363538,170.31588656450225
278,0.1421875,0.21875,0.09375,289.5678959918546,536.349419741842,170.31588656450225
279,0.139375,0.21875,0.09375,284.6921047618233,569.9892350718155,170.31588656450225
280,0.1353125,0.1875,0.09375,267.93606375424,474.30476692577344,170.31588656450225
