algorithm,experiment,did_converge,best_latency,best_ar,convergence_time
GDA,48_2_B_5_0.5,False,359.74,1.0,90.84
GDA,48_2_B_5_1,True,64.23,1.0,54.01
GDA,48_2_B_5_2,False,3352.97,1.0,36.52
GDA,32_1_A_10_0.5,False,161.42,1.0,36.13
GDA,32_1_A_10_1,False,538.19,1.0,24.03
GDA,32_1_A_10_2,False,4365.12,1.0,19.25
GDA,32_1_A_5_0.5,False,159.14,1.0,35.86
GDA,32_1_A_5_1,False,704.85,1.0,24.73
GDA,32_1_A_5_2,False,2059.29,1.0,19.11
GDA,32_1_B_10_0.5,False,189.52,1.0,36.24
GDA,32_1_B_10_1,False,743.55,1.0,24.2
GDA,32_1_B_10_2,False,6806.71,1.0,19.03
GDA,32_1_B_5_0.5,False,195.79,1.0,35.61
GDA,32_1_B_5_1,False,549.9,1.0,24.87
GDA,32_1_B_5_2,False,5038.28,1.0,19.4
GDA,32_2_A_10_0.5,False,297.06,1.0,43.59
GDA,32_2_A_10_1,False,124.5,1.0,27.08
GDA,32_2_A_10_2,False,12447.1,1.0,18.67
GDA,32_2_A_5_0.5,False,370.68,1.0,43.15
GDA,32_2_A_5_1,False,187.1,1.0,26.76
GDA,32_2_A_5_2,False,19082.08,1.0,18.81
GDA,32_2_B_10_0.5,False,488.52,1.0,43.42
GDA,32_2_B_10_1,False,154.23,1.0,26.92
GDA,32_2_B_10_2,False,4426.58,1.0,19.03
GDA,32_2_B_5_0.5,False,443.57,1.0,43.65
GDA,32_2_B_5_1,False,132.68,1.0,27.59
GDA,32_2_B_5_2,False,3350.67,1.0,18.9
