bin,MAE,MAPE,R2,RMSE,count
6640-6680,1250.5738008055555,0.1878258039768682,-24583.02041364784,1435.983108355195,9
6680-6720,1217.0299856944448,0.18151099795353878,-12125.920367710334,1389.5414662517226,9
6720-6760,1115.6332860625,0.1653582204805779,-18613.042624775957,1130.102448142943,4
6760-6800,1280.3251169722223,0.18890718001435355,-15433.448796704122,1430.7739543539394,9
6800-6840,1031.4473366785712,0.15131630135872415,-6215.440552288624,1042.7188279528605,7
6840-6880,1313.7070646818183,0.19155773009940563,-9967.404787244182,1459.4110175415892,11
6880-6920,1705.8321316363633,0.24729678736558702,-34863.025190493354,1918.857002147079,11
6920-6960,1126.73654640625,0.16214661290055904,-30643.18202107775,1216.528259244973,8
6960-7000,1191.6462966250003,0.17098427449823925,-26646.904040940903,1205.6788427461313,6
7000-7040,1851.4400006250005,0.2640066154717368,-57884.35881513123,2146.7064063492835,6
7040-7080,1539.1636912,0.21784386570701675,-49841.54108179661,1629.4886596099325,5
7080-7120,1405.5234351666666,0.19779854313880926,-28177.287339247814,1465.6272627257918,6
7120-7160,1298.5335915192309,0.18199359770629886,-10851.705319666347,1533.549684407461,13
7160-7200,1435.931257375,0.2002478619475751,-26547.06346368632,1437.9901029714954,4
7200-7240,1039.4624710833334,0.14383799635837072,-8575.642840357057,1127.8563340600404,6
7240-7280,1627.49373484375,0.2239812754830927,-15363.483962696355,1672.5971363504318,8
7280-7320,2058.1110709166664,0.28225741084703687,-135185.53473351628,2357.6900760848275,3
7320-7360,1218.8703919,0.16612866779996432,-11443.66601043075,1300.313035319954,5
7360-7400,1175.4700864999995,0.15929204517167508,-11723.958180897142,1344.5236130329708,3
7400-7440,1402.8188476428572,0.18888130519470522,-13049.98262107236,1477.4352051928743,7
7440-7480,1735.3962966785714,0.23242554176618882,-174201.08968454596,1750.3522883125238,7
7480-7520,2470.68113675,0.3298994573078609,-121706.33913200986,2721.988435297074,3
7520-7560,2065.3756731500002,0.2736668944453619,-130845.82971593298,2253.312790614973,5
7560-7600,1394.7446898749995,0.18374571299228004,-11411.913755308458,1500.5064695986273,4
7600-7640,1714.8865214999998,0.22508042382510096,-13190.824209907445,1716.3511867728027,3
7640-7680,1986.5028306875001,0.259499195257636,-39025.58305883315,2216.46406610609,8
7680-7720,1686.8212631874997,0.21901861837670258,-20748.4623263671,1724.7345549229158,4
7720-7760,2932.4670775833333,0.37863539928676143,-52322.66283635262,3060.759868281141,3
7760-7800,1593.2747416666668,0.20516230097281443,-28239.115484451522,1713.7267328970604,3
7800-7840,1787.0135585624998,0.22842928365988072,-51043.32005778999,1791.7196143057606,4
7840-7880,1988.454394,0.2527326348881544,-30146.525309653465,1993.8366686535555,3
7880-7920,1738.0471212500006,0.21987079368279328,NaN,1738.0471212500006,1
7920-7960,2358.0422193125,0.2970603721978002,-48556.62875403708,2412.079039915376,4
7960-8000,2749.910922125,0.34450040570172946,-228233.76877727488,2803.8876508346534,2
8040-8080,2534.9923755000004,0.3140854502996191,-364466.1621166462,2601.2913037679723,3
8080-8120,2233.7791816874997,0.2756759637786224,-36372.521110209,2236.163103948207,4
8120-8160,2477.2734528333335,0.30464421321099094,-104926.59041735742,2496.0550065624398,3
8160-8200,1982.8499434999994,0.24262081203268027,NaN,1982.8499434999994,1
8200-8240,2179.5843285,0.265522837277212,-187886.4585341178,2264.039575292675,4
8240-8280,2356.8502053749994,0.28535884323674476,-143815.31786615134,2361.608236962018,2
8280-8320,2561.027773833333,0.3083915890165437,-54975.17259382675,2574.901463115036,3
8320-8360,2772.489694833332,0.33277989866323265,-95017.46241710824,2777.0978435139373,3
8400-8440,2688.752721749999,0.31955694931695056,NaN,2688.752721749999,1
8440-8480,2668.3951960000013,0.3150067925687195,NaN,2668.3951960000013,1
8480-8520,1704.0977517499998,0.20043573393718594,-38149.60718473957,1743.3508826068635,4
8520-8560,2672.0167222499986,0.31228447265068027,NaN,2672.0167222499986,1
8560-8600,2462.675475833333,0.28666766679712324,-665533.3345140939,2479.793952863269,3
8600-8640,2315.9823215,0.2686973734719213,-68985.48653594292,2388.5653635198146,3
8640-8680,2745.18506625,0.31765561257668457,NaN,2745.18506625,1
8680-8720,2487.7494193333337,0.2860834054636198,-51753.07877754329,2491.525246363247,3
8720-8760,2870.3467177499997,0.3286428735659192,NaN,2870.3467177499997,1
8760-8800,2367.6725693750004,0.2695786273906266,-261120.4407410334,2455.233601692499,2
8800-8840,3507.5297604999996,0.39761135175524187,-103808.58163067763,3542.3355763211953,2
8840-8880,2537.303235833334,0.286205704145503,-45950.617499600085,2588.0555477352664,3
8880-8920,3154.473906500002,0.3540417149775217,NaN,3154.473906500002,1
8960-9000,3155.75689075,0.35088889704586557,-390190.6269661937,3155.8752665676925,2
9040-9080,2055.7879414999998,0.22722489823758266,NaN,2055.7879414999998,1
9120-9160,3348.1365425000004,0.36679140391598775,NaN,3348.1365425000004,1
9200-9240,3286.0147577499993,0.3567418230884465,-80375251.24444525,3288.433179124664,2
9240-9280,3351.9876397499993,0.3621722429426721,NaN,3351.9876397499993,1
9320-9360,2411.229840000001,0.25770829510027143,NaN,2411.229840000001,1
9360-9400,3233.519865625,0.34490426784317374,-107664.77817297284,3254.3475031403805,2
9400-9440,3622.3763820000013,0.3842193219428719,NaN,3622.3763820000013,1
9440-9480,3297.8071980000004,0.34808723313180473,NaN,3297.8071980000004,1
9480-9520,2389.89549825,0.2518790549825313,NaN,2389.89549825,1
9560-9600,3721.2008785,0.3889366231375007,NaN,3721.2008785,1
9600-9640,3711.9215327499996,0.38615229027151987,NaN,3711.9215327499996,1
9640-9680,3919.906250250001,0.4056386224421542,NaN,3919.906250250001,1
9680-9720,3131.0252148749996,0.3229621967294659,-9356536.547831774,3173.7111815013022,2
9880-9920,4146.0171045,0.41809784022080393,NaN,4146.0171045,1
10080-10120,3906.4158314999995,0.3874152228213558,NaN,3906.4158314999995,1
10120-10160,4368.24039675,0.43116835704722206,NaN,4368.24039675,1
10160-10200,4378.854688000001,0.4309291523818754,NaN,4378.854688000001,1
10320-10360,4260.841899,0.4119029919034715,NaN,4260.841899,1
10480-10520,3417.222779500001,0.3250640124759951,NaN,3417.222779500001,1
10760-10800,4498.711453500001,0.4179037076523153,NaN,4498.711453500001,1
11040-11080,4065.5469622499995,0.3675867624369494,NaN,4065.5469622499995,1
11120-11160,5093.612520249999,0.456999135591862,NaN,5093.612520249999,1
11200-11240,4205.523153000001,0.3754905285657036,NaN,4205.523153000001,1
13360-13400,6257.769825999999,0.4680644872252681,NaN,6257.769825999999,1
13760-13788,6698.896374000001,0.48587167798017866,NaN,6698.896374000001,1
