id,unique_count
28148,18
18335,18
79728,18
40323,18
71518,18
63496,18
48152,18
7704,18
74268,18
48737,18
30050,18
47236,18
55252,18
28525,18
78078,18
55807,18
704,18
6966,18
46765,18
15317,18
36131,18
6810,18
29271,18
76755,18
26724,18
45399,18
60154,18
36258,18
51531,18
48842,18
43835,18
12476,18
64883,18
64387,18
40076,18
1572,18
62080,18
72568,18
66524,18
37000,18
9630,18
9434,18
884,18
52532,18
7080,18
282,18
17183,18
3662,18
50,18
60592,18
50902,18
5063,18
14997,18
6926,18
18126,18
74244,18
12772,18
20036,18
22746,18
48,18
5800,18
64930,18
30406,18
6716,18
42149,18
40255,18
49603,18
66907,18
65868,18
13316,18
20464,18
49799,18
10534,18
23902,18
49403,18
64815,18
63584,18
51490,18
58751,18
5872,18
53494,18
12236,18
75224,18
74977,18
75144,18
60645,18
30332,18
34441,18
6974,18
50296,18
28165,18
65283,18
58968,18
47340,18
36852,18
7237,18
48193,18
26946,18
10062,18
53404,18
16760,18
40512,18
40298,18
25836,18
36586,18
78210,18
3346,18
73522,18
55501,18
74028,18
20401,18
79508,18
19581,18
77267,18
58711,18
57142,18
9122,18
17070,18
34253,18
47677,18
39917,18
832,18
42455,18
53252,18
36271,18
63524,18
35385,18
54764,18
24802,18
37591,18
6724,18
66826,18
66156,18
29903,18
12905,18
44250,18
8280,18
49154,18
46780,18
10522,18
76218,18
79525,18
9347,18
48240,18
19509,18
32481,18
70340,18
63818,18
10064,18
53622,18
43593,18
76908,18
71534,18
57250,18
9146,18
23440,18
43774,18
26914,18
14317,17
13422,17
70280,17
70991,17
29823,17
20424,17
41748,17
24,17
30108,17
38811,17
52509,17
9394,17
63283,17
63266,17
29438,17
45039,17
1436,17
18551,17
40378,17
3358,17
43541,17
57491,17
63560,17
65266,17
10806,17
15919,17
23730,17
69462,17
72393,17
55516,17
57758,17
4083,17
10192,17
47039,17
45840,17
15445,17
26954,17
20521,17
25419,17
57044,17
10338,17
50337,17
72103,17
30542,17
46168,17
19136,17
7641,17
43390,17
18083,17
66788,17
23250,17
46176,17
76840,17
71378,17
68081,17
45833,17
32201,17
53300,17
57070,17
62975,17
26831,17
6672,17
77630,17
22121,17
76860,17
13479,17
80004,17
67505,17
3448,17
78014,17
17146,17
64167,17
67093,17
16023,17
7549,17
37359,17
56607,17
34841,17
20620,17
52365,17
59185,17
78346,17
49979,17
34984,17
53518,17
42654,17
57338,17
36114,17
15751,17
50180,17
70971,17
71919,17
55942,17
22104,17
33776,17
56458,17
66093,17
73662,17
41148,17
67140,17
10328,17
5784,17
641,17
72897,17
74872,17
62842,17
40194,17
36960,17
20166,17
9943,17
60588,17
17282,17
49466,17
1645,17
8069,17
9495,17
30483,17
27197,17
53722,17
20484,17
36214,17
40556,17
20432,17
43473,17
10862,17
36499,17
33029,17
27376,17
43528,17
54852,17
25828,17
24427,17
3472,17
71371,17
10887,17
52436,17
6886,17
5968,17
60108,17
63549,17
12968,17
36820,17
67067,17
41548,17
38754,17
44035,17
80056,17
43815,17
41732,17
30112,17
10550,17
74856,17
45568,17
46065,17
5343,17
49202,17
70502,17
58518,17
29342,17
27265,17
59313,17
36579,17
37098,17
2358,17
68485,17
25853,17
52637,17
13376,17
23580,17
58607,17
7532,17
37262,17
5888,17
536,17
73538,17
74077,17
8321,17
43278,17
44698,17
42092,17
75923,17
55926,17
13674,17
1420,17
19788,17
20170,17
20564,17
46513,17
77195,17
57094,17
65026,17
6746,17
30422,17
33482,17
5752,17
19952,17
9450,17
19677,17
47404,17
17331,17
7421,17
13619,17
965,17
57053,17
37859,17
73840,17
79244,17
56299,17
7056,17
66819,17
70412,17
60170,17
64295,17
24259,17
6902,17
78827,17
48825,17
44618,17
50711,17
33466,17
16832,17
16243,17
58839,17
53732,17
37310,17
2671,17
33428,17
57068,17
226,17
